objid,ra,dec,u,g,r,i,z
588848899934126391,229.013557,-0.108627,21.915,20.758,20.437,20.318,20.29
588848899934128873,229.012258,-0.106399,22.646,21.362,21.142,20.993,21.097
588848899934126376,229.012419,-0.110107,21.076,19.881,19.305,19.086,19.007
588848899934126378,229.009012,-0.108525,21.443,19.958,19.411,19.304,19.515
588848899934127869,229.012176,-0.103745,23.072,21.783,21.414,21.278,21.803
588848899934127871,229.011459,-0.104466,23.357,22.117,21.755,21.621,20.159
588848899934126374,229.020029,-0.107679,19.858,18.399,17.758,17.472,17.348
588848899934126388,229.01511,-0.112885,21.505,20.484,20.143,19.968,20.026
588848899934127237,229.007858,-0.102824,23.615,22.12,21.893,21.891,22.586
588848899934127865,229.014141,-0.103702,25.614,21.485,19.965,18.77,18.15
588848899934127867,229.013107,-0.102049,22.474,21.325,21.022,20.813,20.922
588848899934127868,229.013104,-0.100929,22.377,21.568,21.219,21.264,20.871
588848899934128174,229.016958,-0.104756,22.436,21.411,21.121,21.032,21.056
588848899934126369,229.004633,-0.107314,15.45,15.37,14.76,14.796,13.148
588848899934126539,229.016685,-0.116852,21.813,21.004,20.723,20.745,20.642
588848899934126540,229.01755,-0.11559,22.078,21.144,20.832,20.666,20.713
588848899934127236,229.007606,-0.102169,23.596,20.867,19.397,18.577,18.148
588848899934127322,229.016863,-0.101811,21.706,20.946,20.635,20.496,20.399
588848899934127345,229.017842,-0.099802,22.374,21.192,20.853,20.823,20.688
588848899934127350,229.019602,-0.112648,21.491,20.492,20.185,20.006,19.996
588848899934127351,229.018472,-0.112817,22.338,21.712,21.462,21.216,20.881
588848899934127354,229.021173,-0.111199,22.108,21.161,20.809,20.585,20.577
588848899934127356,229.021866,-0.110679,22.962,21.752,21.364,21.367,21.397
588848899934127866,229.014421,-0.099667,22.247,21.443,21.05,21.108,20.872
588848899934127870,229.013951,-0.098856,23.317,21.929,21.629,21.422,21.505
588848899934128917,229.020294,-0.114539,23.909,22.573,22.23,22.22,21.632
588848899934129429,229.01155,-0.100194,23.557,23.507,22.829,22.903,22.162
588848899934126371,229.000762,-0.10638,18.832,17.545,17.509,17.494,17.546
588848899934126381,229.007724,-0.117585,21.714,20.498,20.028,19.852,19.795
588848899934126398,229.005516,-0.099669,21.257,20.231,19.866,19.757,19.694
588848899934126399,229.005021,-0.100955,21.761,20.588,20.222,20.098,20.084
588848899934126401,229.004787,-0.101481,22.043,21.143,20.819,20.708,20.606
588848899934126405,229.006137,-0.09919,23.206,22.348,21.833,21.467,21.181
588848899934126407,229.003504,-0.101204,23.753,22.639,22.031,21.701,22.617
588848899934126483,229.012783,-0.119945,21.737,20.852,20.616,20.458,20.426
588848899934126484,229.014625,-0.118341,23.007,21.715,21.46,21.253,22.023
588848899934126485,229.013666,-0.118262,23.523,21.867,21.508,21.131,21.157
588848899934126489,229.0148,-0.119863,24.167,23.042,22.762,22.156,22.071
588848899934126531,229.021378,-0.117396,24.172,21.308,19.876,19.18,18.812
588848899934127247,229.00873,-0.097076,25.332,23.959,22.624,22.647,22.504
588848899934127250,229.011022,-0.118537,21.597,20.526,20.132,19.967,19.88
588848899934127344,229.020505,-0.100513,24.276,23.326,22.215,20.556,19.777
588848899934127346,229.019432,-0.100471,22.427,21.65,21.285,21.301,21.657
588848899934127347,229.018568,-0.098662,23.108,21.803,21.495,21.303,20.877
588848899934127355,229.022199,-0.1112,22.546,21.493,21.051,20.959,20.657
588848899934127363,229.022868,-0.102415,21.508,20.489,19.926,19.726,19.803
588848899934127365,229.022706,-0.100494,23.082,22.822,22.637,21.974,22.075
588848899934127366,229.023401,-0.103489,25.602,23.32,22.816,22.134,21.727
588848899934127873,229.013902,-0.097785,24.737,23.365,23.004,22.535,22.226
588848899934128875,229.013719,-0.095988,24.658,22.309,21.18,20.563,20.307
588848899934128902,229.018333,-0.119151,25.011,23.256,22.826,22.849,21.912
588848899934129426,229.010372,-0.120537,23.736,23.952,22.605,23.244,22.204
588848899934129440,229.023544,-0.112221,26.286,24.03,22.67,23.083,23.216
588848899934126370,229.026098,-0.10707,17.034,15.824,15.379,15.22,15.159
588848899934126372,228.997037,-0.109421,21.888,19.404,17.997,17.274,16.872
588848899934126373,229.027106,-0.108501,19.435,18.344,17.574,17.292,17.197
588848899934126379,229.000471,-0.113135,21.508,20.257,19.711,19.51,19.422
588848899934126386,229.001417,-0.115373,21.697,20.538,20.149,20.046,20.104
588848899934126387,229.028833,-0.106404,21.607,20.532,20.191,20.075,20.165
588848899934126396,229.001321,-0.099988,19.71,18.179,17.562,17.272,17.125
588848899934126397,228.999337,-0.10441,21.544,20.313,19.803,19.558,19.508
588848899934126402,229.002134,-0.096595,22.441,21.105,20.849,20.738,20.706
588848899934126403,229.000751,-0.100821,22.519,21.293,20.931,20.872,20.714
588848899934126404,229.001674,-0.101962,22.284,21.414,21.013,20.851,20.865
588848899934126406,228.999839,-0.103585,23.55,22.603,22.004,21.706,21.365
588848899934126409,228.998887,-0.10172,23.74,22.566,22.328,22.136,22.055
588848899934126410,228.998244,-0.103514,24.842,23.231,22.567,22.799,22.091
588848899934126411,229.002387,-0.095054,23.374,23.026,22.541,22.246,21.838
